Tao,Timestamp
304.2565595120001,2025-01-22T23:59:48Z
244.67044928099995,2025-01-23T23:59:48.001Z
217.547151013,2025-01-24T23:59:48Z
211.707425931,2025-01-25T23:59:48Z
302.354787135,2025-01-26T23:59:48Z
231.501128637,2025-01-27T23:59:48Z
196.28748360300006,2025-01-28T23:59:48Z
248.56740991900008,2025-01-29T23:59:48.001Z
283.9489053630001,2025-01-30T23:59:48Z
232.3159927439999,2025-01-31T23:59:48.001Z
203.19621369899994,2025-02-01T23:59:48.001Z
204.34643873599993,2025-02-02T23:59:48Z
274.6953321910001,2025-02-03T23:59:48Z
262.3438014639999,2025-02-04T23:59:48Z
288.670801166,2025-02-05T23:59:48Z
237.385185224,2025-02-06T23:59:48Z
270.32632108599995,2025-02-07T23:59:48Z
302.32982800199994,2025-02-08T23:59:48Z
245.24010754499992,2025-02-09T23:59:48Z
316.804542581,2025-02-10T23:59:48Z
334.0209549130001,2025-02-11T23:59:48.001Z
363.3434615479999,2025-02-12T23:59:48Z
336.97708786900006,2025-02-13T23:59:48.001Z
306.848297411,2025-02-14T23:59:48Z
249.56559649899995,2025-02-15T23:59:48Z
308.608067356,2025-02-16T23:59:48Z
275.89867373,2025-02-17T23:59:48.001Z
358.583188098,2025-02-18T23:59:48.001Z
465.022156377,2025-02-19T23:59:48Z
402.76568137099997,2025-02-20T23:59:48.001Z
496.95504240400004,2025-02-21T23:59:48Z
354.7662910080001,2025-02-22T23:59:48Z
382.56630653800005,2025-02-23T23:59:48Z
470.77725190100006,2025-02-24T23:59:48.001Z
399.3005887799999,2025-02-25T23:59:48Z
421.19757737000015,2025-02-26T23:59:48Z
383.37005936400016,2025-02-27T23:59:48.001Z
273.5669088350001,2025-02-28T23:59:48.001Z
275.9985205919999,2025-03-01T23:59:48Z
199.24185101899994,2025-03-02T23:59:48Z
204.17779668300008,2025-03-03T23:59:48Z
141.88867139499993,2025-03-04T23:59:48.001Z
239.46377933499988,2025-03-05T23:59:48Z
341.955972554,2025-03-06T23:59:48Z
396.241915243,2025-03-07T23:59:48Z
457.3618191999998,2025-03-08T23:59:48Z
326.687580699,2025-03-09T23:59:48Z
392.403083959,2025-03-10T23:59:48Z
247.79438521300006,2025-03-11T23:59:48Z
164.55248329899996,2025-03-12T23:59:48.001Z
236.51557564299998,2025-03-13T23:59:48Z
180.127467563,2025-03-14T23:59:48Z
350.052605221,2025-03-15T23:59:48Z
234.86517797000008,2025-03-16T23:59:48Z
262.781922091,2025-03-17T23:59:48Z
327.408267265,2025-03-18T23:59:48Z
365.0093934429999,2025-03-19T23:59:48Z
184.78371389999992,2025-03-20T23:59:48.001Z
196.47011019100003,2025-03-21T23:59:48Z
208.16051845400003,2025-03-22T23:59:48Z
182.84449862200006,2025-03-23T23:59:48Z
146.38338085299998,2025-03-24T23:59:48Z
225.28935131599997,2025-03-25T23:59:48Z
217.61673013199993,2025-03-26T04:57:00Z
